StartTime,EndTime,AreaID,UnitName,Load
2022-07-03T09:00+00:00Z,2022-07-03T10:00+00:00Z,10YIT-GRTN-----B,MAW,33027
2022-07-03T10:00+00:00Z,2022-07-03T11:00+00:00Z,10YIT-GRTN-----B,MAW,33087
2022-07-03T11:00+00:00Z,2022-07-03T12:00+00:00Z,10YIT-GRTN-----B,MAW,33049
2022-07-03T12:00+00:00Z,2022-07-03T13:00+00:00Z,10YIT-GRTN-----B,MAW,33232
2022-07-03T13:00+00:00Z,2022-07-03T14:00+00:00Z,10YIT-GRTN-----B,MAW,33689
2022-07-03T14:00+00:00Z,2022-07-03T15:00+00:00Z,10YIT-GRTN-----B,MAW,34646
2022-07-03T15:00+00:00Z,2022-07-03T16:00+00:00Z,10YIT-GRTN-----B,MAW,36090
2022-07-03T16:00+00:00Z,2022-07-03T17:00+00:00Z,10YIT-GRTN-----B,MAW,36924
2022-07-03T17:00+00:00Z,2022-07-03T18:00+00:00Z,10YIT-GRTN-----B,MAW,36813
2022-07-03T18:00+00:00Z,2022-07-03T19:00+00:00Z,10YIT-GRTN-----B,MAW,37328
2022-07-03T19:00+00:00Z,2022-07-03T20:00+00:00Z,10YIT-GRTN-----B,MAW,35959
2022-07-03T20:00+00:00Z,2022-07-03T21:00+00:00Z,10YIT-GRTN-----B,MAW,33415
2022-07-03T21:00+00:00Z,2022-07-03T22:00+00:00Z,10YIT-GRTN-----B,MAW,30720
2022-07-03T22:00+00:00Z,2022-07-03T23:00+00:00Z,10YIT-GRTN-----B,MAW,28889
2022-07-03T23:00+00:00Z,2022-07-04T00:00+00:00Z,10YIT-GRTN-----B,MAW,27919
2022-07-04T00:00+00:00Z,2022-07-04T01:00+00:00Z,10YIT-GRTN-----B,MAW,27329
2022-07-04T01:00+00:00Z,2022-07-04T02:00+00:00Z,10YIT-GRTN-----B,MAW,27368
2022-07-04T02:00+00:00Z,2022-07-04T03:00+00:00Z,10YIT-GRTN-----B,MAW,28344
2022-07-04T03:00+00:00Z,2022-07-04T04:00+00:00Z,10YIT-GRTN-----B,MAW,32344
2022-07-04T04:00+00:00Z,2022-07-04T05:00+00:00Z,10YIT-GRTN-----B,MAW,37882
2022-07-04T05:00+00:00Z,2022-07-04T06:00+00:00Z,10YIT-GRTN-----B,MAW,42952
2022-07-04T06:00+00:00Z,2022-07-04T07:00+00:00Z,10YIT-GRTN-----B,MAW,45638
2022-07-04T07:00+00:00Z,2022-07-04T08:00+00:00Z,10YIT-GRTN-----B,MAW,47316
2022-07-04T08:00+00:00Z,2022-07-04T09:00+00:00Z,10YIT-GRTN-----B,MAW,48123
2022-07-04T09:00+00:00Z,2022-07-04T10:00+00:00Z,10YIT-GRTN-----B,MAW,47157
2022-07-04T10:00+00:00Z,2022-07-04T11:00+00:00Z,10YIT-GRTN-----B,MAW,47645
2022-07-04T11:00+00:00Z,2022-07-04T12:00+00:00Z,10YIT-GRTN-----B,MAW,48834
2022-07-04T12:00+00:00Z,2022-07-04T13:00+00:00Z,10YIT-GRTN-----B,MAW,49687
2022-07-04T13:00+00:00Z,2022-07-04T14:00+00:00Z,10YIT-GRTN-----B,MAW,49838
2022-07-04T14:00+00:00Z,2022-07-04T15:00+00:00Z,10YIT-GRTN-----B,MAW,48914
2022-07-04T15:00+00:00Z,2022-07-04T16:00+00:00Z,10YIT-GRTN-----B,MAW,47135
2022-07-04T16:00+00:00Z,2022-07-04T17:00+00:00Z,10YIT-GRTN-----B,MAW,45296
2022-07-04T17:00+00:00Z,2022-07-04T18:00+00:00Z,10YIT-GRTN-----B,MAW,43419
2022-07-04T18:00+00:00Z,2022-07-04T19:00+00:00Z,10YIT-GRTN-----B,MAW,42447
2022-07-04T19:00+00:00Z,2022-07-04T20:00+00:00Z,10YIT-GRTN-----B,MAW,39693
2022-07-04T20:00+00:00Z,2022-07-04T21:00+00:00Z,10YIT-GRTN-----B,MAW,36918
2022-07-04T21:00+00:00Z,2022-07-04T22:00+00:00Z,10YIT-GRTN-----B,MAW,34098
2022-07-04T22:00+00:00Z,2022-07-04T23:00+00:00Z,10YIT-GRTN-----B,MAW,32175
2022-07-04T23:00+00:00Z,2022-07-05T00:00+00:00Z,10YIT-GRTN-----B,MAW,31030
2022-07-05T00:00+00:00Z,2022-07-05T01:00+00:00Z,10YIT-GRTN-----B,MAW,30453
2022-07-05T01:00+00:00Z,2022-07-05T02:00+00:00Z,10YIT-GRTN-----B,MAW,30187
2022-07-05T02:00+00:00Z,2022-07-05T03:00+00:00Z,10YIT-GRTN-----B,MAW,30693
2022-07-05T03:00+00:00Z,2022-07-05T04:00+00:00Z,10YIT-GRTN-----B,MAW,33774
2022-07-05T04:00+00:00Z,2022-07-05T05:00+00:00Z,10YIT-GRTN-----B,MAW,38699
2022-07-05T05:00+00:00Z,2022-07-05T06:00+00:00Z,10YIT-GRTN-----B,MAW,43384
2022-07-05T06:00+00:00Z,2022-07-05T07:00+00:00Z,10YIT-GRTN-----B,MAW,45820
2022-07-05T07:00+00:00Z,2022-07-05T08:00+00:00Z,10YIT-GRTN-----B,MAW,46629
2022-07-05T08:00+00:00Z,2022-07-05T09:00+00:00Z,10YIT-GRTN-----B,MAW,47306
2022-07-05T09:00+00:00Z,2022-07-05T10:00+00:00Z,10YIT-GRTN-----B,MAW,46488
2022-07-05T10:00+00:00Z,2022-07-05T11:00+00:00Z,10YIT-GRTN-----B,MAW,47057
2022-07-05T11:00+00:00Z,2022-07-05T12:00+00:00Z,10YIT-GRTN-----B,MAW,48658
2022-07-05T12:00+00:00Z,2022-07-05T13:00+00:00Z,10YIT-GRTN-----B,MAW,49559
2022-07-05T13:00+00:00Z,2022-07-05T14:00+00:00Z,10YIT-GRTN-----B,MAW,49739
2022-07-05T14:00+00:00Z,2022-07-05T15:00+00:00Z,10YIT-GRTN-----B,MAW,48856
2022-07-05T15:00+00:00Z,2022-07-05T16:00+00:00Z,10YIT-GRTN-----B,MAW,47182
2022-07-05T16:00+00:00Z,2022-07-05T17:00+00:00Z,10YIT-GRTN-----B,MAW,46152
2022-07-05T17:00+00:00Z,2022-07-05T18:00+00:00Z,10YIT-GRTN-----B,MAW,44276
2022-07-05T18:00+00:00Z,2022-07-05T19:00+00:00Z,10YIT-GRTN-----B,MAW,43504
2022-07-05T19:00+00:00Z,2022-07-05T20:00+00:00Z,10YIT-GRTN-----B,MAW,41187
2022-07-05T20:00+00:00Z,2022-07-05T21:00+00:00Z,10YIT-GRTN-----B,MAW,38256
2022-07-05T21:00+00:00Z,2022-07-05T22:00+00:00Z,10YIT-GRTN-----B,MAW,35307
2022-07-05T22:00+00:00Z,2022-07-05T23:00+00:00Z,10YIT-GRTN-----B,MAW,33177
2022-07-05T23:00+00:00Z,2022-07-06T00:00+00:00Z,10YIT-GRTN-----B,MAW,31737
2022-07-06T00:00+00:00Z,2022-07-06T01:00+00:00Z,10YIT-GRTN-----B,MAW,30996
2022-07-06T01:00+00:00Z,2022-07-06T02:00+00:00Z,10YIT-GRTN-----B,MAW,30766
2022-07-06T02:00+00:00Z,2022-07-06T03:00+00:00Z,10YIT-GRTN-----B,MAW,31382
2022-07-06T03:00+00:00Z,2022-07-06T04:00+00:00Z,10YIT-GRTN-----B,MAW,34389
2022-07-06T04:00+00:00Z,2022-07-06T05:00+00:00Z,10YIT-GRTN-----B,MAW,38911
2022-07-06T05:00+00:00Z,2022-07-06T06:00+00:00Z,10YIT-GRTN-----B,MAW,43271
2022-07-06T06:00+00:00Z,2022-07-06T07:00+00:00Z,10YIT-GRTN-----B,MAW,45573
2022-07-06T07:00+00:00Z,2022-07-06T08:00+00:00Z,10YIT-GRTN-----B,MAW,46461
2022-07-06T08:00+00:00Z,2022-07-06T09:00+00:00Z,10YIT-GRTN-----B,MAW,47258
2022-07-06T09:00+00:00Z,2022-07-06T10:00+00:00Z,10YIT-GRTN-----B,MAW,46537
2022-07-06T10:00+00:00Z,2022-07-06T11:00+00:00Z,10YIT-GRTN-----B,MAW,47487
2022-07-06T11:00+00:00Z,2022-07-06T12:00+00:00Z,10YIT-GRTN-----B,MAW,48825
2022-07-06T12:00+00:00Z,2022-07-06T13:00+00:00Z,10YIT-GRTN-----B,MAW,49043
2022-07-06T13:00+00:00Z,2022-07-06T14:00+00:00Z,10YIT-GRTN-----B,MAW,49105
