StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-06-30T23:45+00:00Z,2022-07-01T00:00+00:00Z,10YES-REE------0,MAW,B04,9100
2022-07-01T00:00+00:00Z,2022-07-01T00:15+00:00Z,10YES-REE------0,MAW,B04,9252
2022-07-01T00:15+00:00Z,2022-07-01T00:30+00:00Z,10YES-REE------0,MAW,B04,9128
2022-07-01T00:30+00:00Z,2022-07-01T00:45+00:00Z,10YES-REE------0,MAW,B04,9132
2022-07-01T00:45+00:00Z,2022-07-01T01:00+00:00Z,10YES-REE------0,MAW,B04,9104
2022-07-01T01:00+00:00Z,2022-07-01T01:15+00:00Z,10YES-REE------0,MAW,B04,9012
2022-07-01T01:15+00:00Z,2022-07-01T01:30+00:00Z,10YES-REE------0,MAW,B04,8936
2022-07-01T01:30+00:00Z,2022-07-01T01:45+00:00Z,10YES-REE------0,MAW,B04,8968
2022-07-01T01:45+00:00Z,2022-07-01T02:00+00:00Z,10YES-REE------0,MAW,B04,8968
2022-07-01T02:00+00:00Z,2022-07-01T02:15+00:00Z,10YES-REE------0,MAW,B04,8972
2022-07-01T02:15+00:00Z,2022-07-01T02:30+00:00Z,10YES-REE------0,MAW,B04,9072
2022-07-01T02:30+00:00Z,2022-07-01T02:45+00:00Z,10YES-REE------0,MAW,B04,9104
2022-07-01T02:45+00:00Z,2022-07-01T03:00+00:00Z,10YES-REE------0,MAW,B04,9212
2022-07-01T03:00+00:00Z,2022-07-01T03:15+00:00Z,10YES-REE------0,MAW,B04,9256
2022-07-01T03:15+00:00Z,2022-07-01T03:30+00:00Z,10YES-REE------0,MAW,B04,9340
2022-07-01T03:30+00:00Z,2022-07-01T03:45+00:00Z,10YES-REE------0,MAW,B04,9384
2022-07-01T03:45+00:00Z,2022-07-01T04:00+00:00Z,10YES-REE------0,MAW,B04,9384
2022-07-01T04:00+00:00Z,2022-07-01T04:15+00:00Z,10YES-REE------0,MAW,B04,9184
2022-07-01T04:15+00:00Z,2022-07-01T04:30+00:00Z,10YES-REE------0,MAW,B04,9460
2022-07-01T04:30+00:00Z,2022-07-01T04:45+00:00Z,10YES-REE------0,MAW,B04,9832
2022-07-01T04:45+00:00Z,2022-07-01T05:00+00:00Z,10YES-REE------0,MAW,B04,10056
2022-07-01T05:00+00:00Z,2022-07-01T05:15+00:00Z,10YES-REE------0,MAW,B04,9968
2022-07-01T05:15+00:00Z,2022-07-01T05:30+00:00Z,10YES-REE------0,MAW,B04,10096
2022-07-01T05:30+00:00Z,2022-07-01T05:45+00:00Z,10YES-REE------0,MAW,B04,10200
2022-07-01T05:45+00:00Z,2022-07-01T06:00+00:00Z,10YES-REE------0,MAW,B04,9940
2022-07-01T06:00+00:00Z,2022-07-01T06:15+00:00Z,10YES-REE------0,MAW,B04,9928
2022-07-01T06:15+00:00Z,2022-07-01T06:30+00:00Z,10YES-REE------0,MAW,B04,9664
2022-07-01T06:30+00:00Z,2022-07-01T06:45+00:00Z,10YES-REE------0,MAW,B04,9268
2022-07-01T06:45+00:00Z,2022-07-01T07:00+00:00Z,10YES-REE------0,MAW,B04,8740
2022-07-01T07:00+00:00Z,2022-07-01T07:15+00:00Z,10YES-REE------0,MAW,B04,9140
2022-07-01T07:15+00:00Z,2022-07-01T07:30+00:00Z,10YES-REE------0,MAW,B04,9008
2022-07-01T07:30+00:00Z,2022-07-01T07:45+00:00Z,10YES-REE------0,MAW,B04,8644
2022-07-01T07:45+00:00Z,2022-07-01T08:00+00:00Z,10YES-REE------0,MAW,B04,8444
2022-07-01T08:00+00:00Z,2022-07-01T08:15+00:00Z,10YES-REE------0,MAW,B04,8444
2022-07-01T08:15+00:00Z,2022-07-01T08:30+00:00Z,10YES-REE------0,MAW,B04,8580
2022-07-01T08:30+00:00Z,2022-07-01T08:45+00:00Z,10YES-REE------0,MAW,B04,8668
2022-07-01T08:45+00:00Z,2022-07-01T09:00+00:00Z,10YES-REE------0,MAW,B04,8856
2022-07-01T09:00+00:00Z,2022-07-01T09:15+00:00Z,10YES-REE------0,MAW,B04,9284
2022-07-01T09:15+00:00Z,2022-07-01T09:30+00:00Z,10YES-REE------0,MAW,B04,9460
2022-07-01T09:30+00:00Z,2022-07-01T09:45+00:00Z,10YES-REE------0,MAW,B04,9520
2022-07-01T09:45+00:00Z,2022-07-01T10:00+00:00Z,10YES-REE------0,MAW,B04,9476
2022-07-01T10:00+00:00Z,2022-07-01T10:15+00:00Z,10YES-REE------0,MAW,B04,9468
2022-07-01T10:15+00:00Z,2022-07-01T10:30+00:00Z,10YES-REE------0,MAW,B04,9372
2022-07-01T10:30+00:00Z,2022-07-01T10:45+00:00Z,10YES-REE------0,MAW,B04,9236
2022-07-01T10:45+00:00Z,2022-07-01T11:00+00:00Z,10YES-REE------0,MAW,B04,9272
2022-07-01T11:00+00:00Z,2022-07-01T11:15+00:00Z,10YES-REE------0,MAW,B04,9228
2022-07-01T11:15+00:00Z,2022-07-01T11:30+00:00Z,10YES-REE------0,MAW,B04,9272
2022-07-01T11:30+00:00Z,2022-07-01T11:45+00:00Z,10YES-REE------0,MAW,B04,9032
2022-07-01T11:45+00:00Z,2022-07-01T12:00+00:00Z,10YES-REE------0,MAW,B04,8852
2022-07-01T12:00+00:00Z,2022-07-01T12:15+00:00Z,10YES-REE------0,MAW,B04,8692
2022-07-01T12:15+00:00Z,2022-07-01T12:30+00:00Z,10YES-REE------0,MAW,B04,8776
2022-07-01T12:30+00:00Z,2022-07-01T12:45+00:00Z,10YES-REE------0,MAW,B04,8524
2022-07-01T12:45+00:00Z,2022-07-01T13:00+00:00Z,10YES-REE------0,MAW,B04,8156
2022-07-01T13:00+00:00Z,2022-07-01T13:15+00:00Z,10YES-REE------0,MAW,B04,8416
2022-07-01T13:15+00:00Z,2022-07-01T13:30+00:00Z,10YES-REE------0,MAW,B04,8580
2022-07-01T13:30+00:00Z,2022-07-01T13:45+00:00Z,10YES-REE------0,MAW,B04,8500
2022-07-01T13:45+00:00Z,2022-07-01T14:00+00:00Z,10YES-REE------0,MAW,B04,8212
2022-07-01T14:00+00:00Z,2022-07-01T14:15+00:00Z,10YES-REE------0,MAW,B04,8548
2022-07-01T14:15+00:00Z,2022-07-01T14:30+00:00Z,10YES-REE------0,MAW,B04,8748
2022-07-01T14:30+00:00Z,2022-07-01T14:45+00:00Z,10YES-REE------0,MAW,B04,8924
2022-07-01T14:45+00:00Z,2022-07-01T15:00+00:00Z,10YES-REE------0,MAW,B04,8928
2022-07-01T15:00+00:00Z,2022-07-01T15:15+00:00Z,10YES-REE------0,MAW,B04,8568
2022-07-01T15:15+00:00Z,2022-07-01T15:30+00:00Z,10YES-REE------0,MAW,B04,8476
2022-07-01T15:30+00:00Z,2022-07-01T15:45+00:00Z,10YES-REE------0,MAW,B04,8748
2022-07-01T15:45+00:00Z,2022-07-01T16:00+00:00Z,10YES-REE------0,MAW,B04,9064
2022-07-01T16:00+00:00Z,2022-07-01T16:15+00:00Z,10YES-REE------0,MAW,B04,8744
2022-07-01T16:15+00:00Z,2022-07-01T16:30+00:00Z,10YES-REE------0,MAW,B04,8952
2022-07-01T16:30+00:00Z,2022-07-01T16:45+00:00Z,10YES-REE------0,MAW,B04,8672
2022-07-01T16:45+00:00Z,2022-07-01T17:00+00:00Z,10YES-REE------0,MAW,B04,8800
2022-07-01T17:00+00:00Z,2022-07-01T17:15+00:00Z,10YES-REE------0,MAW,B04,8552
2022-07-01T17:15+00:00Z,2022-07-01T17:30+00:00Z,10YES-REE------0,MAW,B04,8736
2022-07-01T17:30+00:00Z,2022-07-01T17:45+00:00Z,10YES-REE------0,MAW,B04,9060
2022-07-01T17:45+00:00Z,2022-07-01T18:00+00:00Z,10YES-REE------0,MAW,B04,9420
2022-07-01T18:00+00:00Z,2022-07-01T18:15+00:00Z,10YES-REE------0,MAW,B04,9248
2022-07-01T18:15+00:00Z,2022-07-01T18:30+00:00Z,10YES-REE------0,MAW,B04,9572
2022-07-01T18:30+00:00Z,2022-07-01T18:45+00:00Z,10YES-REE------0,MAW,B04,9996
2022-07-01T18:45+00:00Z,2022-07-01T19:00+00:00Z,10YES-REE------0,MAW,B04,10268
2022-07-01T19:00+00:00Z,2022-07-01T19:15+00:00Z,10YES-REE------0,MAW,B04,10220
2022-07-01T19:15+00:00Z,2022-07-01T19:30+00:00Z,10YES-REE------0,MAW,B04,10284
2022-07-01T19:30+00:00Z,2022-07-01T19:45+00:00Z,10YES-REE------0,MAW,B04,10264
2022-07-01T19:45+00:00Z,2022-07-01T20:00+00:00Z,10YES-REE------0,MAW,B04,10216
2022-07-01T20:00+00:00Z,2022-07-01T20:15+00:00Z,10YES-REE------0,MAW,B04,10104
2022-07-01T20:15+00:00Z,2022-07-01T20:30+00:00Z,10YES-REE------0,MAW,B04,9960
2022-07-01T20:30+00:00Z,2022-07-01T20:45+00:00Z,10YES-REE------0,MAW,B04,9436
2022-07-01T20:45+00:00Z,2022-07-01T21:00+00:00Z,10YES-REE------0,MAW,B04,9000
2022-07-01T21:00+00:00Z,2022-07-01T21:15+00:00Z,10YES-REE------0,MAW,B04,8936
2022-07-01T21:15+00:00Z,2022-07-01T21:30+00:00Z,10YES-REE------0,MAW,B04,8880
2022-07-01T21:30+00:00Z,2022-07-01T21:45+00:00Z,10YES-REE------0,MAW,B04,8856
2022-07-01T21:45+00:00Z,2022-07-01T22:00+00:00Z,10YES-REE------0,MAW,B04,8904
