StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-06-30T23:45+00:00Z,2022-07-01T00:00+00:00Z,10Y1001A1001A83F,MAW,B10,107
2022-07-01T00:00+00:00Z,2022-07-01T00:15+00:00Z,10Y1001A1001A83F,MAW,B10,100
2022-07-01T00:15+00:00Z,2022-07-01T00:30+00:00Z,10Y1001A1001A83F,MAW,B10,99
2022-07-01T00:30+00:00Z,2022-07-01T00:45+00:00Z,10Y1001A1001A83F,MAW,B10,56
2022-07-01T00:45+00:00Z,2022-07-01T01:00+00:00Z,10Y1001A1001A83F,MAW,B10,27
2022-07-01T01:00+00:00Z,2022-07-01T01:15+00:00Z,10Y1001A1001A83F,MAW,B10,4
2022-07-01T01:15+00:00Z,2022-07-01T01:30+00:00Z,10Y1001A1001A83F,MAW,B10,5
2022-07-01T01:30+00:00Z,2022-07-01T01:45+00:00Z,10Y1001A1001A83F,MAW,B10,2
2022-07-01T01:45+00:00Z,2022-07-01T02:00+00:00Z,10Y1001A1001A83F,MAW,B10,8
2022-07-01T02:00+00:00Z,2022-07-01T02:15+00:00Z,10Y1001A1001A83F,MAW,B10,58
2022-07-01T02:15+00:00Z,2022-07-01T02:30+00:00Z,10Y1001A1001A83F,MAW,B10,6
2022-07-01T02:30+00:00Z,2022-07-01T02:45+00:00Z,10Y1001A1001A83F,MAW,B10,3
2022-07-01T02:45+00:00Z,2022-07-01T03:00+00:00Z,10Y1001A1001A83F,MAW,B10,71
2022-07-01T03:00+00:00Z,2022-07-01T03:15+00:00Z,10Y1001A1001A83F,MAW,B10,33
2022-07-01T03:15+00:00Z,2022-07-01T03:30+00:00Z,10Y1001A1001A83F,MAW,B10,2
2022-07-01T03:30+00:00Z,2022-07-01T03:45+00:00Z,10Y1001A1001A83F,MAW,B10,1
2022-07-01T03:45+00:00Z,2022-07-01T04:00+00:00Z,10Y1001A1001A83F,MAW,B10,1
2022-07-01T04:00+00:00Z,2022-07-01T04:15+00:00Z,10Y1001A1001A83F,MAW,B10,4
2022-07-01T04:15+00:00Z,2022-07-01T04:30+00:00Z,10Y1001A1001A83F,MAW,B10,14
2022-07-01T04:30+00:00Z,2022-07-01T04:45+00:00Z,10Y1001A1001A83F,MAW,B10,428
2022-07-01T04:45+00:00Z,2022-07-01T05:00+00:00Z,10Y1001A1001A83F,MAW,B10,696
2022-07-01T05:00+00:00Z,2022-07-01T05:15+00:00Z,10Y1001A1001A83F,MAW,B10,1431
2022-07-01T05:15+00:00Z,2022-07-01T05:30+00:00Z,10Y1001A1001A83F,MAW,B10,1679
2022-07-01T05:30+00:00Z,2022-07-01T05:45+00:00Z,10Y1001A1001A83F,MAW,B10,2086
2022-07-01T05:45+00:00Z,2022-07-01T06:00+00:00Z,10Y1001A1001A83F,MAW,B10,2762
2022-07-01T06:00+00:00Z,2022-07-01T06:15+00:00Z,10Y1001A1001A83F,MAW,B10,2847
2022-07-01T06:15+00:00Z,2022-07-01T06:30+00:00Z,10Y1001A1001A83F,MAW,B10,2682
2022-07-01T06:30+00:00Z,2022-07-01T06:45+00:00Z,10Y1001A1001A83F,MAW,B10,2331
2022-07-01T06:45+00:00Z,2022-07-01T07:00+00:00Z,10Y1001A1001A83F,MAW,B10,3143
2022-07-01T07:00+00:00Z,2022-07-01T07:15+00:00Z,10Y1001A1001A83F,MAW,B10,2968
2022-07-01T07:15+00:00Z,2022-07-01T07:30+00:00Z,10Y1001A1001A83F,MAW,B10,3467
2022-07-01T07:30+00:00Z,2022-07-01T07:45+00:00Z,10Y1001A1001A83F,MAW,B10,3335
2022-07-01T07:45+00:00Z,2022-07-01T08:00+00:00Z,10Y1001A1001A83F,MAW,B10,2941
2022-07-01T08:00+00:00Z,2022-07-01T08:15+00:00Z,10Y1001A1001A83F,MAW,B10,2652
2022-07-01T08:15+00:00Z,2022-07-01T08:30+00:00Z,10Y1001A1001A83F,MAW,B10,2520
2022-07-01T08:30+00:00Z,2022-07-01T08:45+00:00Z,10Y1001A1001A83F,MAW,B10,2171
2022-07-01T08:45+00:00Z,2022-07-01T09:00+00:00Z,10Y1001A1001A83F,MAW,B10,2509
