StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-06-30T23:00+00:00Z,2022-07-01T00:00+00:00Z,10Y1001A1001A65H,MAW,B05,547
2022-07-01T00:00+00:00Z,2022-07-01T01:00+00:00Z,10Y1001A1001A65H,MAW,B05,699
2022-07-01T01:00+00:00Z,2022-07-01T02:00+00:00Z,10Y1001A1001A65H,MAW,B05,757
2022-07-01T02:00+00:00Z,2022-07-01T03:00+00:00Z,10Y1001A1001A65H,MAW,B05,742
2022-07-01T03:00+00:00Z,2022-07-01T04:00+00:00Z,10Y1001A1001A65H,MAW,B05,791
2022-07-01T04:00+00:00Z,2022-07-01T05:00+00:00Z,10Y1001A1001A65H,MAW,B05,813
2022-07-01T05:00+00:00Z,2022-07-01T06:00+00:00Z,10Y1001A1001A65H,MAW,B05,698
2022-07-01T06:00+00:00Z,2022-07-01T07:00+00:00Z,10Y1001A1001A65H,MAW,B05,729
2022-07-01T07:00+00:00Z,2022-07-01T08:00+00:00Z,10Y1001A1001A65H,MAW,B05,817
2022-07-01T08:00+00:00Z,2022-07-01T09:00+00:00Z,10Y1001A1001A65H,MAW,B05,781
2022-07-01T09:00+00:00Z,2022-07-01T10:00+00:00Z,10Y1001A1001A65H,MAW,B05,801
2022-07-01T10:00+00:00Z,2022-07-01T11:00+00:00Z,10Y1001A1001A65H,MAW,B05,844
2022-07-01T11:00+00:00Z,2022-07-01T12:00+00:00Z,10Y1001A1001A65H,MAW,B05,656
2022-07-01T12:00+00:00Z,2022-07-01T13:00+00:00Z,10Y1001A1001A65H,MAW,B05,525
2022-07-01T13:00+00:00Z,2022-07-01T14:00+00:00Z,10Y1001A1001A65H,MAW,B05,630
2022-07-01T14:00+00:00Z,2022-07-01T15:00+00:00Z,10Y1001A1001A65H,MAW,B05,816
2022-07-01T15:00+00:00Z,2022-07-01T16:00+00:00Z,10Y1001A1001A65H,MAW,B05,783
2022-07-01T16:00+00:00Z,2022-07-01T17:00+00:00Z,10Y1001A1001A65H,MAW,B05,715
2022-07-01T17:00+00:00Z,2022-07-01T18:00+00:00Z,10Y1001A1001A65H,MAW,B05,686
2022-07-01T18:00+00:00Z,2022-07-01T19:00+00:00Z,10Y1001A1001A65H,MAW,B05,756
2022-07-01T19:00+00:00Z,2022-07-01T20:00+00:00Z,10Y1001A1001A65H,MAW,B05,792
2022-07-01T20:00+00:00Z,2022-07-01T21:00+00:00Z,10Y1001A1001A65H,MAW,B05,649
2022-07-01T21:00+00:00Z,2022-07-01T22:00+00:00Z,10Y1001A1001A65H,MAW,B05,697
2022-07-01T22:00+00:00Z,2022-07-01T23:00+00:00Z,10Y1001A1001A65H,MAW,B05,477
2022-07-01T23:00+00:00Z,2022-07-02T00:00+00:00Z,10Y1001A1001A65H,MAW,B05,408
2022-07-02T00:00+00:00Z,2022-07-02T01:00+00:00Z,10Y1001A1001A65H,MAW,B05,509
2022-07-02T01:00+00:00Z,2022-07-02T02:00+00:00Z,10Y1001A1001A65H,MAW,B05,583
2022-07-02T02:00+00:00Z,2022-07-02T03:00+00:00Z,10Y1001A1001A65H,MAW,B05,553
2022-07-02T03:00+00:00Z,2022-07-02T04:00+00:00Z,10Y1001A1001A65H,MAW,B05,725
2022-07-02T04:00+00:00Z,2022-07-02T05:00+00:00Z,10Y1001A1001A65H,MAW,B05,785
